tweet,class
"RT @RedTvvitter: ""Does my Mewtwo make your pussy wet?"" http://t.co/W4zzHr6Kum",1
@kieffer_jason and who said I didn't like myself where the fuck u got shit from u made that up stfu and stop assuming and bitch am not ugly.,1
Get this bitch off my TV bruh,1
Lmfao bitch got her shit rocked,1
Verizon customer service is trash as fuck. I've been in the store haven't been greeted or nothing.,1
"you've gone and broke the wrong heart baby, and drove me redneck crazy",2
bitch ass arod or shorty dont hit me back up,1
"RT @T_ElMarauder: So when the clock hits 12 o'clock imma need the baddest, lightest, &amp; brightest hoes to be at @WhatsAshirt door. Give my b&#8230;",1
"I'm from Long Beach California... so people automatically think I'ma badass, or a bitch.... hahha",1
"RT @gamma_ray239: The wicked witch of the east is DONE!!!! NOW, send that vile bitch to Syria http://t.co/kEUI4XetTd",1
You ain't squad lil bitch,1
"@SelfCuttingGirl @AnthonyCumia I thought he would think it was cute...you know, like when you shut your clam up for 5 minutes! #dunce",2
"RT @thecoreyholcomb: This bitch wit a baby ask me to switch seats so the family could be together. I said ""bitch my family wasn't together?&#8230;",1
RT @HntrMoore: You ever call your ex while you're fucking your side bitch? Yea I'm gonna do that later,1
One day you niggas gone learn when not to fuck an ugly bitch. Because these pregnancies need to be stopped,1
RT @Nigel_D: RT: @JoeBudden I just wanna state for the record that I don&#8217;t have any hoes. - http://t.co/pcd2slVKxy,1
I don't pity or hate #faggots. Sexual mutations are necessary side effect of #evolution. BUT PROLIFERATION at 4% is a sign #humans fucked UP,1
@On_Point_Prg another keyboard commando in real life you hide like a little bitch,1
Bitch bitch bitch,1
Dani Alves pulled off that hairstyle. Neymar just looks like a faggot,0
RT @BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy,1
"Fuck Staten Island, place is for pussies",1
"Allergies have my eyes all red and chink eyed, I look like I'm stoned",1
RT @SoloDahSystem: As in rubbing her booty on another mans penis. Sure RT @PacDaGoat: Fellas you cool with your girl dancing with other nig&#8230;,1
"&#8220;@_heyshelby: Bitch I'm on, bitch I'm on my griiind&#8221; thug luuuuuuv",1
"Everyone calls me ""b"" they be like oh wassup b &#128524; and I be like wassup my niggah",0
Kick dem fucc niccas out da spot,0
"@CarelessOne92 he a real nigga tho, that bitch know her place",1
"One night stand y'all hoes, y'all ain't nothing more!",1
RT @TommyShiner: Never snapchat will bishop. He is a screenshotting son of a bitch,1
why do little scrawny white boys play ghetto rap music while they walk around.,1
"RT @TrevonDeLorean: Bitches be 18 in 8th grade talking about ""I miss Bae"" &#128586;&#128107; naw bitch you missed graduation &#128563;&#128557;&#128557;&#128514;",1
"&#8220;@_chrisbrazell: Fuck The Girls , Peep How He Change When A Nigga Squared Up Against Him &#128514;&#128514;&#128514;&#128514;&#128514; https://t.co/FZx4ws7eeE&#8221; &#128514;&#128514;&#128514;&#128514; bitch ass",1
Niggas talk more then bitches these days,1
Most these bitches ain't real,1
"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!",2
RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC,0
RT @donnellrawlings: Salute to Derek jetter! Best Yankee ever!,2
http://t.co/bPU86qzYFt Crystal Star &#8211; Leggy and playful babe Crystal Star spreads her pussy for&#160;you http://t.co/lFKqRC0zXn,1
If @UnLike_Society post 1 more pic of his waves I'm bringing my S-Curl back on these hoes for the 2014,1
This that bitch nigga shit they invented it I just created the term,1
I adopted these bitches,1
I hate ratchet country hoes I'm ashamed,1
RT @CleveSmith: Bet her pussy smell like dried up oysters,1
@alexxx_carr18 bitch what?,1
You know people ghetto when they leave the plastic shit on their TVs,1
Tell a itty bitty bitch pipe down,1
Y'all entertained by these bitch az niggas hitting women? Smh Who raised you?,1
RT @CuhCuhCuh: bitches brag about goin to the gym and still be shaped like a patron bottle cuh,1
"Back in America, and I've become a basic bitch again.",1
Wayne crazy.... New Orleans ass nicca lol,1
"RT @SLIZRD_WIZRD: 3 point on a bitch like Dirk Nowitzki, up in da club like Dirk Nowitzki.",1
@MIKEB_IN_THE_D rams are for fags,1
"They fail to realize Ion want ""Friends"" bitches switch up quiccer than I change the channel &#128175;",1
Duh. Aka Shitty Nights. RT @LinaAhmadi City Nights is hella #ghetto,1
@Youlove_Tyler lol girrrrl these bitches crazzzzy,1
"@SuperheroReport ""I'm going to show these bitches how it's done."" http://t.co/RF5dTVQWI6",1
The Redskins trash as fuck for not getting that,1
Ball is life? No bitch bench is life &#128075;,1
@prime13_time @Vbomb20 hey I guess yall forgot im in this bitch too lol,1
"One thing I love about russel Wilson, he ain't a bitch about runnin it",1
"I'm sorry but if your costume is a ""naughty school girl"" this yr I will forever consider u a basic bitch. #becreative #followers",1
#Dutch farmers are white trash.,0
"RT @HipHopIsDeaddd: Top ten rappers With no hoes
1.Hopsin
2.Lupe
3.Canibus
4.IMT
5.Childish G
6.Papoose
7.Hopsin again
8.Joell Ortiz
9.Krs &#8230;",1
@JaiBrooks1 ugly goldigging cunt u probably have an uncircumcised penis faggot,1
&#8220;@CALL_ME_KiTTiE: @what_evaittakes haha imma catch Ebola Trynna keep myself warm lol&#8221;&#128514;&#128514;&#128514; ewww bitch well stay far away from me,1
"I will literally never get home, this shit is retarded",1
"Hoes be like ""Hoes be like""..........But they be the hoes that be like",1
"&#8220;@KinggKI Im drunk, I'm bout to bitch.&#8221;need a ride?",1
"under my windoowww &#8220;@brettcanfly: Bleaching your teeth, smiling flash, talking trash, under your breath&#8221;",2
"@drboycewatkins1 Coons and monkeys like you disgust me, you minstrel show negro. Crying about shit all the time you're a disgrace everywhere",0
RT @Naishaa_: Fuck a nigga and a bitch,1
@ZachIrving I called people kikes and a lot of fucks,1
@LickMyWhooooop @JustDoItSlow yall playful don't come dumb hoes,1
RT @XndSeanX: If you're going to be a bitch and not come to the show because some bands dropped then w/e. More moshing room for me in that &#8230;,1
@ThatTallCashier lol youre retarded &#128514;,1
@anniec0429 ugly white bitch,1
"Everyone thinks that I'm not the person on my id. Like look at my moles, I don't understand.. Like I colored my hair what a big difference",2
Sex should be a reward in a relationship. Nigga has never done anything for you whatsoever yet you still give him the pussy...smh,1
RT @maycie32: @Whitecholo23 ya by being your bitch;),1
@just_priss I understand but stop venting on this bitch you give to much insight in to your life &amp; these people don't deserve that,1
"Fuck the church you attend , fuck your god, fuck the nigguh you call the savior . It's a fucking new world order baby",1
Keep it G I never fucked a squirter bitch &#128514;,1
"#CommonQuestionIGet

Why uou so ghetto?",2
RT if you fucked a bitch that fucked EVERY nigga in your state,1
Drop dead gorgeous a bitch ain't dying for a nigga,1
' Id rather sit at the house all day and jack off then bust a mission to literally only chill with a bitch &#1041204;&#1043473;... http://t.co/MEtM60bG15,1
@Hovaa_ that's very logical because bitches love using my face as a toilet,1
Watching Deadly Women. This malicious bitch left 50 babies out in the sun so they can bake to death. Wtf.,1
RT @RihannaHasAids: if I got hoes.. @ one of my hoes.. if not shutup &amp; never say it again,1
RT @ReggieRipBam: All I ever do is fuck bitches &amp; count stacks,1
"""I will fuck u where u stand"". ""U dizzy bitch"". Two unique &amp; separate phrases I overheard a relative saying when I was younger.",1
@Me_NOindirect bitch fuck you!! You cut off until I get my snacks from fat boys !,1
"RT @PABLO_BAAIH: ""Good pussy is pussy that makes you really think bout making her breakfast pussy that makes you think about being a father""",1
With my partner in crime riri22barbie yesss &#128128; bitch stole my look! Hah #vegasqueens #ladykimora &#128139;&#128139; http://t.co/wXKj826B1E,1
"I hate how girls bitch about 

E V E R Y T H I N G",1
Thats why I aint cuffing until Im grown af RT @JimmySolberg3: These hoes ain't loyal,1
@OfficialSkaiS kill yourself ugly ass monkey looking shit,0
RT @ErinEph: New bus stop. Guy across the street is yelling and doing David Lee Roth kicks at swooping crows. I should learn karate.,2
"RT @ohhshedopee: I won't love you, I can't love you
Unless that pussy got some super powers",1
Ready to go get my fried Oreos,2
RT @TattedUp_Tre: &#8220;@Blaxxxican: Early bird gets the dick&#127770;&#8221; &#128514;&#128514;&#128514;,1
RT @Broski519: How bitches look wen they hear their song in da club http://t.co/F2OyCfK90s,1
we in here turn up turn up wheres the bitches,1
Sweet and innocent schoolgirl Minami Asaka&#180;s pussy&#160;eaten http://t.co/DNxBLKrQ45,1
@who__CHRISJONES @WhyYouSoShort who is dis crack ass cracker,0
RT @Gmel_Genuine: When ya broke ONLY real bitches stick around,1
You can't blame me for the bitches I attract.. Y'all say ima asshole when I talk about hoes... but that's kinda what I be having.,1
Happy bday @wizkhalifa I love you my nigguh #livingLegend,1
RT @Plurizard: I don't burn bridges.. tf I look like holding a grudge and being a lil bitch. Shit happens. You'll be fine.,1
"I thought it was bros over hoes , guess not &#128530;",1
&amp;&amp; some of you hoes too... http://t.co/yJPSMAS4k2,1
RT @UnapologetiicB: What's it like being a cold hearted cunt?,1
RT @LaVintageTribe: Getting all these checks like Nike I'm icy and yo bitch like me- dice soho &#127922;,1
@adamjferraro I'm actually with my boys right now. Your dorky ass is with your mom &amp; dad watching Streit make you his bitch,1
You're all just crows on the power lines.,2
making the shittiest pigs in a blanket but they're gonna be good. i'm not tryna impress Gordon Ramsey's bitch ass i'm trying to make poop.,1
Gansitos are ATG beaner candy,1
#NowPlaying : BT feat. Tori Amos - Blue Skies (radio edit) on #1069TheArrow - http://t.co/R5wuXA9jB6,2
RT @mckinley719: Like bitch. You already know the answer. It's all for bri #Duh,1
"@PlannedSickDays hey, do you have that screen shot of djk's wiki page being updated regarding the trash can incident?",2
not in the business of submitting to no bitch bruh bruh.,1
"RT @erikxrosa: The ones we really like , we can't get.
But if you got the one you really like then you a lucky bitch.",1
RT @DinO_off_AD: Them hoes come them hoes go it's a revolving cycle &#128080;,1
Next time u gone call a darky a nicca..call dat coon a jungle bunny#Boondocks P.S. I... http://t.co/ug647wUIE4,0
@HonchoPikasoe lmao hell yea.. I love thick bitches &amp; thick bitches love fat niggas.,1
I fear no niggah I trust no bitchhh..,1
I need a bitch to drop it down for me lol,1
Can't have a bitch with no future or goals. I love kids but if you're not a parent first I can't deal with you,1
@MorganSelae @YoungMoneyKem @Matty_Kem I got tits as big as a hoe so it evens out,1
@Rosaalbae @iH8TvvitterHoes faggot but you sent me hella nudes. Hmmmm,1
This fuzzy wuzzy kitten wants to know how a raven is like a writing desk. Find out why here &#8594; http://t.co/GI9On86iGV http://t.co/HlKDTSgKwU,2
"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",2
"My nigguh
Me naturally forever be fly!",1
"' I really don't give a fuck . Once you start that "" You got hoes , you fuck with bitches "" shit I'm deleting yo... http://t.co/ylvtlUZsi0",1
@Katieloukarl lol tell that hoe grow up ahaha,1
"""I'm sorry I fucked yo bitch... But she really dig a nigga"" @KingL",1
"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",2
RT @OfficiallyIce: U might be a faggot if u pull outta the pussy to bust bro.,1
Those my v necks now ho,1
RT @tupactopus: bad bitches get in free night at weenie hut jrs,1
Some Jihadi posted a bio of the #ISIS boss Mr Awad with excellent sociological info. Can't thank him/her enough for the gift.,2
Girl you eating more pussy then me girl you should have been a nigga,1
"aw shit, Fenkell in this bitch",1
@lukejohnson06 @laurenbeckkkk1 @lllexiss hey dude watch who your calling a bitch..,1
Yea I see ya hoe,1
RT @TheOnlyReed: Warm that pussy up,1
"RT @JaazieL_: Bitches will tell you, it's all about the angles &#128129; RT &#8220;@40oz_VAN: Watching my bitch take 25 selfies just to get that right 1.&#8221;",1
"RT @TwangNation: On this day , February 13, in 2002 Waylon Jennings left us for that honky-tonk in the sky - Dreaming My Dreams - ht ...",2
@ThatChrisEckert Gobble de gook,2
"Free patterns - Adorable crochet borders Butterfly, ladybug, flower bumblebee and hat edging, trim, http://t.co/FOtJbqWyEg",2
"I don't care how old I am, when you put me in front of a bag of takis I'll eat that bitch",1
RT @JewlzSantana: making every bitch feel important...,1
"I hate a extra ass bitch or an extra ass nigga . you're doing too much , just stop . It's unnecessary .",1
RT @Sum_Pfeif: Did @wagggggie seriously steal my Halloween Oreos ? &#128530;,2
RT @AskWhy05: I hat that I paint my beard shit... Just eat some pussy and grow you one dawg... Quit tryin to shortcut it,1
niggas living like hoes dats why dey dying bout nothing,1
&#8220;@RetroSpidey: Your opinion is irrelevant because you&#8217;re a cunt.&#8221; @SumoRerun,1
These UT hoes be goin !!!!!!,1
"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",2
"RT @TransaparenT: ""Hi mom, last night I was cunt slapping when you texted me about grandpas bypass, sorry I didn't get back to you until no&#8230;",1
@krispy717 @grizzboadams fucking gay faggot look at that gay ass pink shirt haha,0
It's fact that a male brain cannot always hear the high pitched voice of a women.. So bitch don't get mad..I really didn't hear you!!,1
"One thing I hate more than Lightskin niggas, is a Confused bitch like either you go fwm or you gon fw these niggas. &#9995;&#128564;",1
Told ya months ago Charlie wasn't bullshittin.. Bevo is next,1
We ain't really wit that talkin bitch we bout that action,1
She like to argue so I sent dat bitch to law school,1
Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot.,1
"@_queenveronica haha yolo, did ya hit that hoe?",1
"RT @GoatRapLines: Chief Keef changed the rap game when he said ""bitch I'm cooler than a cooler""",1
RT @_Headsyoulose: I'll write a poem for u hoe http://t.co/jQPzftI14w,1
"@HuffingtonPost im American, don't give 2 shits about the beaners, ship them beaners back",0
@StephenStone4 you bad little bitch,1
@swirlg0ddess main bae gonn think sumn up wit the pussy,1
#gouache #inktober #oldpainting #mt #tiki #wahine #surf #monkey #bright #happysunday #peace wishing&#8230; http://t.co/l73hiK0IZ8,2
RT @imFindDory: lol when bitches tryna chill with me like do u kno who i am? im the mother fuxin Dory hoe I TOUCHED THE BUTT,1
"RT @TheGoodGodAbove: Victoria&#8217;s real secret?
Five nipples and a sideways vagina.",1
Review: The Yanks are Coming! A Military History of the United States in World War I http://t.co/Hv4k1yZACH via @BreitbartNews,2
"&#8220;@OnStar: #Mondays are a whole lot better when you're driving a vehicle http://t.co/LIixxMzNdZ&#8221;

""That white pussy uhhh get ya""",1
RT @Lrihendry: Pregnant S.E. Cupp&#8217;s classic response to &#8216;liberal dem&#8217; who calls her &#8216;chunky&#8217; &#8211; with bonus tweets http://t.co/U8nlYWEfiO via&#8230;,2
"""If you talk back to me you ain't getting no pussy.""
Me: http://t.co/vgnwcFgvSJ",1
I know yall bitches tell yall selfs #WWHD what would hustlelinaa do &#128514; cuz yall asses stay following me &#128527;,1
&#8220;@koleworld4: my name is stefanie ... &#128075;&#128075;&#128075;&#128075; stefanie&#128514;&#128540;&#8221;fuck u hoe &#128553;&#128530;&#128514;,1
A teen was running around Target in monkey pjs screaming OO OO AH AH &amp; the fitting room girls were cackling. Was today designed to annoy me?,2
RT @Goons_TXT: Only retards and dads roll Lawful Good.,2
Ronnie Radke's a fucking fag. Fronz owns his ass.,1
This lil Thot bitch really tried to run game on me,1
I swear to god some hoes look like they take the same exact picture everytime. Change it up for once godamn. #ratchet,1
&#8220;@LesterrNem: Bad bitches is the only thing that I like &#128074;&#128064;&#128074;&#8221;&#128073;&#128073;&#128073;,1
RT @boss_sant: I would never trip over a bitch that aint mine &#128514;&#128514; niggas clowns man,1
"RT @espn: When the Yanks and Sox get together, things usually go smoothly -&gt; http://t.co/f3t97ymMd5",2
All the bitches happy maybe one of his female friends can find him a bitvj,1
RT @Braceface_Tay: Tell them bitches I'll always be your Mrs.&#128141;,1
&#128514;&#128514; maaaaannnn i hope so! RT @ABrown252: @VonshayeB did we get rid of John Legend looking Charlie Batch?,2
@BlackManUSA @chrislhayes well that's some cracker jack secret service work there. jfk anyone?,2
"RT @CuhCuhCuh: When a bitch say ""I love you"" hit her wit the reverse psychology &amp; say ""do you?"" It work 70% of the time cuh the other 30% g&#8230;",1
"RT @kvchef26: ""@xomaryjeanxo: It's my pussy not yours http://t.co/qokhLnXAi1"" I think this gotta be my favorite naked picture ever....damn",1
"&#8220;@LODMTPAPI: Clingy girlfriends are the best &#128175;&#10084;&#65039;&#128553;&#128143; http://t.co/Dt9nua4u7A&#8221;

Stop lying to these hoes bro.. That shit annoying",1
"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",1
I spy a couple thirsty hoes on insta.,1
"I like my seat down low and my window slightly cracked, riding wit a bad hoe wit her girlfriend in the back",1
"If someone pushes you too hard today, they may be surprised ho... More for Capricorn http://t.co/3kpy22pi0E",2
"@Cody_smith64 true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao",0
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,1
"niggas bugging if they think my bitch ain't gunna tell me something, HA",1
&#8220;@muhlackk: I'm Trynna find a bitch with a fat ass&#8221;,1
I hate when people ask if I shoot up!! I don't need that pussy shit to be bigger than you unswole niggas&#128075;,1
RT @anderson6benton: &#8220;@T_ReV_13: Dumb bitches are one thing that'll never become extinct..&#8221; That's real,1
"RT @SportsCenter: Peyton Manning's remarkable season:
&#8226; 5,477 Pass yds (NFL record)
&#8226; 55 Pass TD (NFL record)
&#8226; 450 completions
&#8226; likely ho&#8230;",2
how many of U hoes bad ass little kids dont their medication and cut up in school every week?,1
"RT @LickMeGently: Big booty = sour face ,no hair ,or she a hoe.",1
lmaoooo RT @ToeKnee2GX: Lol OK pal RT @AceHudsonJr: what bitch gone tell me no? TUH! http://t.co/toEa3cZjDF,1
RT @Sulerte26: BREAKING: Yankees acquire Lebron James in a 3 team deal per sources http://t.co/rSMi4p7o6u,2
RT @TrentSkii_Baby: &#8220;@1017_Sqquad: 90 percent yo bitch with me 100 percent that scrap with me&#8221;,1
"RT @aivayePVUcheer: I can't stand a ""fuck these niggas"" ass bitch..",1
RT @taylorlopez96: &#8220;@harleighpurolla: You are the biggest two faced bitch I have ever met.&#8221; You won't @ her,1
I'm saying though!! &#128514;&#128514;&#128553;&#128553; RT @___bria: all my panties be vs. ion look like these bitches tho,1
@DaniCim choke on bread bitch,1
&#8220;@IAm_Cream: &#128514;RT @DontGetGrandHoe: When y'all hoes going to learn how to spell&#8221; &#128588;&#128588;,1
...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be,0
Bust in dat bitch face I don't want sons! -- @Icewear_Vezzo,1
The Internet will make you think these bitches are who they're actually not.,1
These niggas ain't shit but hoes with tricks,1
@moyizzy naw negro,1
@Tamorite @The_Greatest_10 The truth hurts nigguh.,1
RT @_soulfulsiren: &#8220;@VizyIsIgnant: When she waives her pussy fees&gt;&gt;&gt;&gt;&#8221; bye Lawrence &#128075;,1
Don't follow the astros they said. They're trash they said. Well now look at them #astros,2
@moneypulatief @globalriot Nee dat is na langdurig gepest worden.Zoals ik al zei:in d kiem smoren.Is ook vb voor t kind hoe je moet optreden,2
Good morning coons.,0
